axis,boundary,total,boundary_share,p0,ci_lo,ci_hi,p_enrich,p_deplete
CXCL12->CXCR4,2169,5300,0.4092452830188679,0.3642394050329108,0.3960779170488856,0.42254411721397767,4.922778067471003e-12,0.9999999999950773
SPP1->ITG*,14881,44719,0.3327668328898231,0.2915929786095953,0.32841400316084535,0.3371483925881761,4.1945107287742363e-82,1.0
TGFB1->TGFBR*,9874,33992,0.2904801129677571,0.28497779353137215,0.28567777169423975,0.2953298065973357,0.012309136296730321,0.9876908637032696
VEGFA->KDR,1232,2715,0.45377532228360956,0.4085543121988528,0.43512636705120805,0.4725549042666944,8.199285276488666e-07,0.9999991800714724
