axis,boundary,total,boundary_share,p0,ci_lo,ci_hi,p_enrich,p_deplete
CXCL12->CXCR4,39,5300,0.007358490566037735,0.012017420724855501,0.005387675898287128,0.010042950838378611,0.9990732265992917,0.0009267734007083472
SPP1->ITG*,353,44719,0.00789373644312261,0.012607112462352427,0.0071147338693547495,0.008757280846275483,1.0,0.0
TGFB1->TGFBR*,262,33992,0.007707695928453754,0.013497994606691762,0.006832000626081805,0.008694651315960424,1.0,0.0
VEGFA->KDR,16,2715,0.005893186003683241,0.01586952711493989,0.003630737350572938,0.009551935740790676,0.9999840572590373,1.594274096272663e-05
